Area_id,Area Name,Weight,Volume,Fat,Saturate,Salt,Sugar,Protein,Carb,Fibre,Alcohol,energy_fat,energy_saturate,f_beer,f_dairy,f_eggs,f_fats_oils,f_fish,f_fruit_veg,f_grains,f_meat_red,f_poultry,f_readymade,f_sauces,f_soft_drinks,f_spirits,f_sweets,f_tea_coffee,f_water,f_wine,f_dairy_weight,f_eggs_weight,f_fats_oils_weight,f_fish_weight,f_fruit_veg_weight,f_grains_weight,f_meat_red_weight,f_poultry_weight,f_readymade_weight,f_sauces_weight,f_sweets_weight,representativeness_norm,transaction_days,num_transactions,man_day,population,male,female,age_0_17,age_18_64,age_65+,avg_age,area_sq_km,People_per_sqkms,weight_per_capita,volume_per_capita,Health_Score ,Fruits_to_sweets_Weight,Sugar_per_transaction,Grocery_density
E09000001,City of London,323.17475,98.84296341,8.472984543,3.361599313,0.530496276,9.278065074,5.253333285,15.77963917,1.619850069,0.340719386,76.25686089,30.25439382,0.026307141,0.12110102,0.011755653,0.022850822,0.021307021,0.322872464,0.12228893,0.046464727,0.018063916,0.057107818,0.011380524,0.021961092,0.003292801,0.139697171,0.004958439,0.022605545,0.025984915,0.083379443,0.02834743,0.021973172,0.020750524,0.40002688,0.169268794,0.054917371,0.042892702,0.069720184,0.014208276,0.094515225,1,365,842113,103883,6687,3697,2990,1018,4349,1320,43.91012412,2.9,2305.862069,0.04832881,0.014781361,-5.766481032,4.232406785,0.073674698,290383.7931
E09000002,Barking and Dagenham,421.3041249,122.3412938,9.209958879,3.596833718,0.603081288,10.79324445,5.193871612,19.78498758,1.590335253,0.202540344,82.88962991,32.37150346,0.01078282,0.096583372,0.011265948,0.031448484,0.020717323,0.248116304,0.157617682,0.051075764,0.020254339,0.061959304,0.014344387,0.037077072,0.003822462,0.179794136,0.006770291,0.039457623,0.008912689,0.057367434,0.029513541,0.029937601,0.018841388,0.338206349,0.239402442,0.055799484,0.049375106,0.052176047,0.014667242,0.114713366,0.173376605,365,4649347,397127,203101,99442,103659,60281,123180,19640,33.01732143,36.09,5627.625381,0.002074358,0.000602367,-7.605871302,2.94827325,0.471489597,128826.4616
E09000003,Barnet,407.1704908,114.9337708,8.594464256,3.407352942,0.567210973,9.530548061,5.129627022,17.02594999,1.638638886,0.227760962,77.35017831,30.66617648,0.011297565,0.106466978,0.012772676,0.032430341,0.024276954,0.327326166,0.132781044,0.050389909,0.020199293,0.048064564,0.014555145,0.02379716,0.003019263,0.141606805,0.006140596,0.02924203,0.01563351,0.063424866,0.027339447,0.028833872,0.021949379,0.405163461,0.191207181,0.055558902,0.048692312,0.049065127,0.014132213,0.094633239,0.720439044,365,58025525,4131210,378778,186357,192421,88754,237036,52988,37.19558158,86.76,4365.813739,0.001074958,0.000303433,-6.169635094,4.281407502,0.062213344,668805.0369
E09000004,Bexley,359.5441265,106.446426,9.119179509,3.466346232,0.591325568,10.94108504,5.304495884,19.99710463,1.657118424,0.201324927,82.07261559,31.19711608,0.012230822,0.095073124,0.008947796,0.025274525,0.017349437,0.251680887,0.170317522,0.046666524,0.020140161,0.080288837,0.012818129,0.031980292,0.00309962,0.172935509,0.006770289,0.031481894,0.012944634,0.06208283,0.023369832,0.027886206,0.016950403,0.343028917,0.230364404,0.0550241,0.050066059,0.063173679,0.014524561,0.113529011,0.05496571,365,2867212,380177,242387,116814,125573,56028,146237,40122,38.88074855,60.58,4001.105976,0.001483347,0.000439159,-7.445816966,3.021508908,0.924932227,47329.34962
E09000005,Brent,434.3241407,128.9303688,8.962466234,3.559913328,0.570477247,10.14861004,5.132914602,18.72647618,1.58597828,0.20675658,80.66219611,32.03921995,0.010728773,0.115017762,0.012938417,0.032990473,0.020180319,0.270669729,0.157685428,0.046170858,0.020670101,0.047498872,0.013810617,0.03154517,0.003702811,0.161407705,0.005913778,0.037472513,0.011596672,0.060578548,0.028566995,0.029127102,0.017900052,0.340326793,0.261287232,0.048517127,0.052380745,0.043013824,0.013605503,0.10469608,0.450624718,365,26303807,2541113,323443,163939,159504,75033,211885,36525,35.76641634,43.28,7473.267098,0.001342815,0.000398619,-6.989630487,3.250616374,0.124791703,607758.9418
E09000006,Bromley,319.3362732,101.105159,9.123054405,3.556923893,0.563582752,11.2187368,5.226794876,19.17552821,1.629871844,0.273348876,82.10748964,32.01231504,0.019327416,0.096955528,0.008774573,0.023214573,0.016208997,0.247084994,0.164548313,0.042790026,0.017570009,0.077218969,0.013159542,0.035203766,0.00303207,0.119226786,0.005712658,0.028668474,0.020765505,0.061528721,0.021272009,0.026300936,0.017772907,0.347003951,0.215907766,0.055482001,0.045293953,0.073455714,0.016755257,0.119226786,0.172818057,364,4850975,734232,325303,156274,169029,72176,196323,56804,39.85342896,150.14,2166.664447,0.000981658,0.000310803,-7.918993975,2.910452955,0.752320665,32309.67763
E09000007,Camden,348.4204142,102.525979,8.801149089,3.503451155,0.540382842,9.426070542,5.234501882,16.30647037,1.633295465,0.274655182,79.2103418,31.5310604,0.01616241,0.117740082,0.012188737,0.027496653,0.02346322,0.321331946,0.130472323,0.043330385,0.018664245,0.053353521,0.012865498,0.022920403,0.002551291,0.142966212,0.005283921,0.025419661,0.023789494,0.076241251,0.027414513,0.025872381,0.022050854,0.388980393,0.191882422,0.051365539,0.046800657,0.059244686,0.014808117,0.095339185,0.158944621,365,8242186,917661,243837,121808,122029,46242,169330,28265,35.93427577,21.87,11149.38272,0.001428907,0.000420469,-6.061724351,4.079963467,0.278861065,376871.7878
E09000008,Croydon,353.6361233,107.4619766,9.09333001,3.529782732,0.567814685,10.96937328,5.175919286,19.01623094,1.599581553,0.224621487,81.83997009,31.76804459,0.01464145,0.099639867,0.009745137,0.02593529,0.018103827,0.247149277,0.161678158,0.044944947,0.019698482,0.068986131,0.013651854,0.039888135,0.003607046,0.17279457,0.006452932,0.037988092,0.015094804,0.061937039,0.023619561,0.029269105,0.018510456,0.336147921,0.228514472,0.055250025,0.052697182,0.063661336,0.015854959,0.114537944,0.213147795,364,6479553,824237,380070,184305,195765,93166,237511,49393,36.89643487,86.57,4390.319972,0.00093045,0.000282743,-7.723655176,2.934817145,0.643428598,74847.55689
E09000009,Ealing,358.5692448,106.197369,9.012152464,3.588559458,0.584656811,9.602237996,5.368475104,17.21320654,1.651457854,0.234213916,81.10937218,32.29703512,0.014242767,0.115131221,0.012811295,0.02956046,0.022681956,0.303363758,0.142617098,0.049916755,0.019973673,0.05391278,0.01438802,0.023123987,0.003229975,0.146896999,0.006160124,0.025098299,0.016890834,0.074548358,0.029740194,0.027564229,0.021890306,0.370092144,0.200415037,0.05645226,0.048470964,0.055187611,0.015670317,0.09996858,0.519100554,364,15534369,1824981,344285,172747,171538,81217,222669,40399,36.14345963,55.55,6197.749775,0.00104149,0.000308458,-6.170864496,3.70208465,0.21281241,279646.6067
E09000010,Enfield,416.0624556,122.3530623,8.890418668,3.521347581,0.623142983,9.947048603,5.480698946,18.56756378,1.565852854,0.225593076,80.01376801,31.69212823,0.010892757,0.105186031,0.012325642,0.033648831,0.022679104,0.265978524,0.146914113,0.060895326,0.025170608,0.054654843,0.017791241,0.028820351,0.003315654,0.160055933,0.00620013,0.03142815,0.014042763,0.057123871,0.027273979,0.032989533,0.020497243,0.350579986,0.20708467,0.067137281,0.061123524,0.055057575,0.016918397,0.104213943,0.679550991,365,49916158,3493012,328738,159756,168982,83274,203384,42080,36.19075069,80.84,4066.526472,0.001265635,0.00037219,-6.421844384,3.364041095,0.065509306,617468.5552
